…之…	非常
裤腰	裤腰
裤(腰)带	腰带
巫	巫术
巫教	巫术
巫婆	巫婆
乌七八糟	乱七八糟
乌鸦	乌鸦
乌鸦嘴	胆小鬼
乌龟	乌龟
乌喧喧	喧闹
乌云	乌云
乌棒	鱼
诬告	诬告
物证	物证
屋(子)	屋子
屋脊	屋脊
屋檐	屋檐
无二爷	怅鬼
无常鬼	怅鬼
无名指	无名指
蜈蚣虫	蜈蚣
五	数目字
五十	数目字
五十一	数目字
五湖四海	五湖四海
五谷	五谷
五花八门	五花八门
五魁首	划拳
五千	数目字
五更鸡	饭盒
五零四散	零散
五脏	五脏
五香嘴儿	小气鬼
五黄六月	寒冬腊月
午	地支
午休	午休
午饭	午饭
武侯祠	武庙
武担山	泰山
武都山	泰山
武生	武生
舞狮子	舞狮
戊	天干
误犯	误用
雾罩	雾
旅	集团军
旅店儿	旅馆
车	棋子
居	刺穿
居居	芒刺
居个口口	划破
居人	蜇
𫪐	吮
菊花	菊花
橘子	橘子
橘子筋筋	果皮
举手	举手
句	档子
锯子	锯子
锯锯镰	镰刀
锯末子	木屑
锯末面	木屑
㘗	耳语
黢	很
黢妈(打)黑	黑駿駿
曲蟮儿	蚯蚓
取起	受罚
取总	从来
取重	重罚
娶亲	娶亲
去	以往
祛湿	除湿
去了	赴
去火	去火
去年(子)	去年
祛风	祛风
女(儿)	女孩
女的	女生
女婿	女婿
女娃子	幼女
女客(人)	东道主
女猫儿	猫
女方	女方
女用人	女佣
虚	空
虚哥	病秧子
虚(火)	害怕
须须摸摸	慢条斯理
嘘	透露
嘘嘘眼儿	眯眼
虽然	虽然
虽说	虽然
须须	须根
须子	须根
许愿	许愿
淤血	淤血
鱼刺	鱼刺
鱼食子	鱼食
鱼鳍	尾鳍
鱼甲	鱼鳞
鱼鳞	鱼鳞
鱼鳃	肺脏
鱼泡儿	鱼尾
鱼猫子	鸟
鱼老哇	水鸟
鱼老鸹	水鸟
鱼罩	渔网
鱼钩(儿)	鱼钩
鱼鳅	泥鳅
鱼蛋	鱼卵
鱼子	鱼卵
鱼干儿	腊肉
鱼腥草	鱼腥草
鱼秧秧(儿)	鱼苗
鱼苗苗(儿)	鱼苗
鱼网	渔网
榆树	榆树
渔船	渔船
羽毛球	羽毛球
雨	雨水
雨衣	雨衣
雨住了	雨过天晴
雨停了	雨过天晴
雨夹雪	雨雪
雨鞋	雨鞋
(雨)伞	雨伞
雨水	雨水
玉	玉
玉麦	玉米
玉米	玉米
玉麦子子	玉米
玉麦花儿	爆米花
芋母子	芋头
芋儿	芋头
芋头	芋头
芋子	芋头
遇倒	相遇
鋊	磨损
儿子	男孩
儿媳妇儿	儿媳妇儿
儿娃子	男孩
儿娃娃	男孩
耳子	木耳
耳子草鞋	草鞋
耳矢	耳光
耳巴子	耳光
耳光	耳光
耳屎	耳屎
耳视	理睬
耳朵	耳朵
耳朵不好	耳背
耳朵(发)烧	害臊
耳朵尖	敏锐
耳朵长	眼观六路，耳听八方
耳朵洞洞	耳朵眼儿
耳报神	内奸
耳环	耳环
耳门	小门
耳门心	耳朵
耳性	记性
耳东陈	姓氏
二	数目字
二指拇儿	食指
二十	数目字
二十四个秋老虎	秋老虎
二十一	数目字
二四	花色
二的个	第三
二不掛五	随意
二伏	二伏
二五	花色
二五子	鬼怪
二…二…	有点儿
二把手	副手
二簸簸	松动
二哥	哥哥
二百五	傻瓜
二百十五个	数量词
二月二	二月
二辈子	下辈子
二水公爷	流氓
二回(子)	今后
二刀坐墩儿	猪肉
二刀肉	猪肉
二道贩子	二道贩子
二流子	流氓
二碳	煤炭
二桿子	懦夫
二晚黑	晚上
二天	将来
二警察	交警
二婚嫂	二婚儿
二黄篾	竹篾
二恍恍	敷衍
二红喜	划拳
二红二喜	大吉大利
二红二红	紫色
巴	贴合
巴壁虎儿	藤蔓
巴地菠菜	菠菜
巴耳子	搓板
巴巴掌	巴掌
巴沙	之极
巴壳壳蛋	蛋
巴结	巴结
巴味	入味
巴茅	茅草
巴茅色	紫色
巴心巴肝	全心全意
巴(幸)不得	巴不得
巴啷鼓(儿)	拨浪鼓
巴榜	发榜
疤(疤)	疤痕
笆篓儿	竹篓
笆笼	竹篓
粑	饼
粑粑	饼
八	数目字
八字	八字
八字不干净	算命
八字贴	庚帖
八字干净	算命
八十	数目字
八十一	数目字
八匹马儿跑	划拳
八马儿飞	划拳
八哥	鹦鹉
八角	八角
八月十五	中秋节
八败	算八字
八嘴儿胡	胡子
八字胡	胡子
八千	数目字
八仙桌	桌子
八方	到处
爸(爸)	父亲
把	致使
把细	细心
把把(儿)	档子
把把	档子
把脚蜷倒	弯转
把脉	把脉
把脑壳望起	抬头
把…叫…	称作
把…喊成…	称作
把凭	把柄
把柄	把柄
㞎㞎	屎
坝	平地
坝坝电影	电影
𢺞	铺
𢺞床	铺床
𢺞单	床单
壩	水坝
欛欛	瓜蒂
欛子	瓜蒂
罢免	罢免
	软瘫
疲	软弱
叽叽	软瘫
稀(流)了	软瘫
噜噜	软和
耳朵	男人
耳朵车	自行车
和	软和
蛋	懦夫
焉儿	懦夫
𣲩	档子
扒手	小偷
拔河	拔河
拔火罐(儿)	拔火罐儿
爬	滚蛋
(爬)起来	起来
耙(子)	耙子
耙(田)	耕田
趴	卧倒
趴起睡	俯卧
趴倒睡	俯卧
帕(子)	帕子
怕光	发烧
妈(妈)	妈妈
抹不脱	抹掉
抹布	抹布
抹帕	抹布
抹脚帕	抹布
抹澡	洗澡
抹掉	抹掉
抹脸	洗脸
痲	麻木
麻子	皮肤病
(痲)屄	阴道
麻姑献寿	残羹冷饭
麻麻黑	傍晚
麻麻亮	麻麻亮
麻辣烫	小吃
麻花儿	小吃
痲窝子	鞋子
麻将	麻将
麻雀子	麻雀
麻雀儿	阴茎
麻秆(儿)	秸秆
麻秆儿	商贩
麻饼(儿)	烧饼
麻筋	碎块
麻因儿	斑点
麻塘	麻糖
痲苍蝇儿	苍蝇
嘛	嘛
扌痲	搓
马	欺压
马起个脸	不苟言笑
马虎	草率
马耳朵	调料
马架子	躺椅
马褂(儿)	马褂
马骡	马骡
马干吃净	欺负
马脸董嘴	生闷气
马上	立刻
马棚(棚)	马棚
马蜂	蜜蜂
马桶(子)	马桶
杩槎	栏杆
码	拌匀
码起来	堆叠
码不实在	举棋不定
码味	腌制
码芡	腌制
蚂蚁儿	蚂蚁
蚂蚁子	蚂蚁
蚂蟥	蚂黄
骂	呵斥
骂架	吵架
发痴	发愣
发瓜	发愣
发闷	发愣
发麻	发愣
发气	生气
(发)吐了	呕吐
发大水	洪水
发洪水	洪水
发痧	中暑
发嗲	撒娇
发火	发怒
发毛	发怒
发饿丧	发丧
发疟疾	发病
发叶子	泡茶
发饱丧	发丧
发水	浇水
发烧	发烧
发蔸	分蘖
发齁	心慌
发票	发票
发汗	发汗
发汗药	中药
发面	发面
发冷	发冷
发人来疯	胡闹
发请帖	邀请
发榜	发榜
发丧	发丧
发梦颠	梦游
发梦冲	梦游
发(风)丹	生病
罚牙祭	惩罚
沓	档子
耷起	垂下
搭	架
搭力	帮忙
搭炉子	引燃
搭火	引燃
搭股子	入股
搭(个)手	帮忙
搭个眼睛	照看
搭白	插话
搭野白	搭话
答应	回答
打	档子
打子	铜钱
(打)失悔	后悔
打比	比方
打屁	放屁
打屁车	摩托车
打屁虫	苍蝇
打宓头儿	扎猛子
打底子	节食
打机器	缝制
打急抓	临阵磨枪
打起发	抢劫
打衣裳	做针线
打衣服	做针线
打不出喷嚏	犯难
打不倒方向	不知所措
打不倒转转	死板
打不上眼	看不起
打布殻儿	打样
打背殻儿	打样
打噗鼾	打鼾
打胡乱说	胡说八道
打毒	消毒
打杵	停滞
打谷(子)	收割
打鱼雀儿	鸟
打雨点子	下雨
打巴壁虎儿	倒立
打麻子眼(儿)	傍晚
打麻将	打牌
打发	施舍
打发新碗儿	祈福
打打行	武林
打假叉	假装
打下手	打下手
打牙祭	打牙祭
打瓜	贱卖
打卦	算卦
打卦婆	胆小鬼
打滑	打滑
打波儿	亲嘴
打脱离	离婚
打啰啰	附和
打戳戳	打零工
打瞌睡	打瞌睡
打喝嗐	打哈欠
(打)火石	火石
打火罐(儿)	拔火罐儿
打伙	合伙
打和声	附和
打脚棒	木棍
打麦(子)	割麦
打得粗	吃苦耐劳
打得燃火	胜任
打(得)上眼	看得起
打(热)帕子	前奏
打嗝	打嗝
打黑摸	摸黑
打铁的	铁匠
打叶子	修剪
打野食子	婚外情
打野鸭子	捉迷藏
打𨃅𨃅脚	跳绳
打摆子	疟疾
打摆摆	反对
打胎	打胎
打台球	打球
打弹子	打球
打来吃起	据为己有
打财马儿	猜谜底
打鞋底	做针线
打堆	买卖
打堆锤	打群架
打雷	打雷
打嘴巴仗	吵架
打锤	打架
打架	打架
打捶角逆	打架
打水	打水
打水仗	捉迷藏
打围鼓	清唱
打饱嗝	打嗝
打冒诈	诈骗
打倒蹄	翻跟头
打倒立	倒立
打倒栽中	摔倒
打倒退	倒退
打脑壳	未便
打灶	砌筑
打螬虫	服药
打螬气	服药
打稿子	起稿
打告告	瞎说
打拗卦	抬杠
打标点符号	唾沫
打漂漂(儿)	捉迷藏
打水漂漂(儿)	捉迷藏
打条	出主意
打条子	签约
打调	换位
打绞绞	缠绕
打搅围儿	走访
打腰鼓	打鼓
打𢭃凑	凑热闹
打头子	斥责
打流星锤	武术
打球	打球
打扮	打扮
打满堂红	连坐
打翻天印	以怨报德
打单	单独
(打)单操	独行
打单穿	穿衣
打蛋	交配
打弹子	藏猫儿
打烂条	出主意
打烂仗	漂泊
打颤颤	发抖
打闪闪	发抖
打燃火	指责
打干和声	光说不练
打干呕	干呕
打干咽	干呕
打偏偏	歪歪扭扭
打天天的	打零工
打连盖	拍打
打尖	掐断
打尖子	领唱
打闲锤	吵架
打眼	惹眼
打官司	打官司
打喷嚏	打喷嚏
打整	收拾
打跟斗儿	翻跟斗
打平伙	凑钱
打掟子	打架
打金井	下葬
打金章	参赛
打行架	嫁妆
打饮食	消化
打春	立春
打浑吞	吞咽
打帮锤	帮忙
打仗	打仗
打丧火	下葬
打将	下棋
打抢轿	出租车
打扬尘	大扫除
打霜	龙卷风
打光叉叉	裸露
打光董董	裸露
打广子	闲逛
打幌子	走神儿
打梦脚	走神儿
打空手	空手
打甩手	空手
打摆手	空手
打红(脸登儿)	化妆
大	庞大
大拇指儿	大拇指
大字	大字
大字本(儿)	本子
(大)米	大米
大的个	那个
大戏	大戏
大衣	大衣
大(一)点儿	大于
大滴滴儿	大于
大姨妹儿	大姑子
大不嗨嗨	大大咧咧
大木胎胎	大大咧咧
大谱谱	情况
大福建营巷(儿)	街道
大肚子	孕妇
大肚皮	将军肚
大路	道路
大暑	大暑
大姑子	大姑子
大雨	大雨
大而化之	粗枝大叶
大儿(子)	儿子
大卡	档子
大块	傲慢
大家	大家
大下定	下聘
大牙	牙齿
大脖子病	艾滋病
大磨子	石磨
大哥	哥哥
大锅	锅
大红鸡公	公鸡
大货	糖葫芦
大白天	白天
大伯子	伯伯
大麦	大麦
大车	车
大舌苔儿	懦夫
大姐	姐姐
大雪	大雪
大摆	衣摆
大楷	大楷
大海椒	辣椒
大碓窝	石臼
大腿	大腿
大杂院儿	大杂院
大嘴老鸹	懦夫
大水	洪水
大套	宽大
大老婆	妻子
大脑壳	懦夫
大扫把	扫把
大头和尚	面具
大头菜	白菜
大猫儿	老虎
大后天	大后天
大后年	大后年
大舅子	大舅子
大班	轿夫
大半边	半边
大半天	老半天
大伞	雨伞
大寒	大寒
大天(八)亮	天亮
大天白亮	天亮
大前天	大前天
大前年(子)	大前年
大年	元宵节
大年初一	春节
大年三十	除夕
大檐帽	警察
大眼角	眼角
大雁	大雁
大端阳	端午节
大端午	端午节
大团结	钞票
(大)蒜	大蒜
大门外头	门后
大声武气	粗声粗气
大病	重病
大春	水稻
大方	阔绰
大肠	大肠
大洋	银元
大双儿	双胞胎
大风	大风
大董董	庞大
大红色	紫色
他	他
他们	我们
他们两个	他们
塌鼻子	塌鼻
踏削	贬低
拉皮条	老鸨
拉皮条的	嫖客
拉稀	拉稀
拉肚子	拉稀
拉海账	欠账
拉飞蛾儿	拉车
拉肥猪	绑票
拉纤	拉车
拉关系	拉关系
拉横耙	蛮不讲理
拉命债	杀生
拉亲娘子	媒婆
拉中杠	主干
那话来说	说清楚
拿火色	见机行事
拿给	被
拿脸	争气
拿言语	美言
拿…当…	当作
纳鞋底	做针线
纳税	纳税
辣	辣
辣锅菜	菜肴
辣菜	白菜
邋遢	邋遢
腊月	腊月
腊肉	腊肉
蜡	蜡
蜡烛	蜡烛
蜡台	蜡台
哪儿	哪儿
哪几个	哪些
哪些	哪些
哪些人	哪些
哪哈儿	何时
哪个	哪些
哪个时候	何时
哪点儿	哪些
哪年子	何时
哪阵	何时
哪跟前	哪儿
哪样	哪样
喇叭花	牵牛花
哪几个	哪些
那些	那些
那塌儿	那里
那哈儿	那时候
那个	那个
那个地方	那里
那里	那里
那儿	那里
那点儿	那里
那们	如果说
那阵	那时候
奓	张开
喳巴	叽叽喳喳
渣渣	垃圾
渣子	垃圾
渣渣瓦瓦	琐碎
渣渣草草	琐碎
渣渣肉	肉
扎实	狠狠
扎板	停止
扎针	针灸
扎劲儿	起劲
咋	何须
咋个	何须
咋个起的	何须
咋个办	怎办
咋(个)样	怎样
眨眼睛	眨眼
炸收	油炸
㔍	剁
铡刀	铡刀
杂	内脏
杂尔古董	杂乱
杂货店儿	杂货店
杂菜面	面条
杂拌儿	荤菜
杂粮	杂粮
鲊	腌制
鲊起	支持
鲊包儿	零食
鲊牛皮，牛皮鲊	翻来覆去
鲊牆子	捧场
鲊海椒	泡菜
炸雷	雷电
砸墩墩儿宝	赌博
榨	凉拌
榨秤	主要
榨坊	油坊
叉起手	叉腰
叉巴	轻浮
叉巴婆	长舌妇
叉叉八	纸牌
叉头扫把	扫把
差	不符
差不多	差不多
差滴滴儿	差不多
差点儿	差一点儿
蹅	踩
蹅虚了脚	受挫
蹅深水	冒险
查	检查
茶	茶叶
茶叶	茶叶
茶铺(子)	茶馆
茶馆(儿)	茶馆
茶母子	茶水
茶树	茶树
茶杯	茶杯
茶盅盅(儿)	茶杯
茶船子	茶托
茶托子	茶托
茶瓶	暖水瓶
茶油	食用油
插子	匕首
插嘴	插嘴
搽药膏	涂抹
察官	纸牌
擦破皮了	受伤
擦黑	傍晚
擦澡	洗澡
擦掉	擦掉
擦板儿	厨具
擦亮	天亮
擦乎乎亮	天亮
擦粉儿亮	天亮
夻	张嘴
叉叉裤	开裆裤
岔	打岔
岔包	口袋
岔猫儿尿	作对
诧	心虚
诧眉诧眼儿	怯生生
诧兮兮	怯生生
诧乎乎	怯生生
诧生	怕生
诧床	敏感
沙子	沙子
沙地	旱地
沙胡豆	蚕豆
沙坝(坝)	坪坝
沙沙地	旱地
沙喉咙	粗嗓子
沙眼儿	孔眼
沙罐儿	砂罐
沙锅	砂罐
杉树	杉树
衫杆(儿)	脚手架
衫针	树叶
刹一脚	刹车
杀猪匠	屠夫
杀猪的	屠夫
杀伙食	聚餐
杀口	刀口
杀偏风	离题
杀馆子	吃饭
杀房	屠宰场
杀场	刑场
靸	踩踏
靸片儿鞋	拖鞋
靸板儿鞋	拖鞋
煞角	结束
撒谷子	播种
撒拉子	唢呐
撒窝子	行贿
撒手	放手
撒帐	婚庆
撒葱花儿	奉承
洒脱	干脆利落
啥子	何谓
啥子时候	何时
啥子地方	四面八方
嘎	吗
嘎嘎	肉
㮟	塞
㮟㮟	缝隙
㮟㮟角角	角落
㮟位	插队
䠍	迈
卡	档子
卡白	苍白
昻	挤压
昻㮟	为难
哈儿	档子
哈	扒拉
哈哈儿	一会儿
哈喉	难受
哈声哈气	沙哑
哈及咕(儿)	胳肢
哈脐咕(儿)	胳肢
哈	傻
(哈吃)哈胀	饱胀
哈巴儿	傻瓜
哈巴狗	哈巴狗
哈戳戳	傻乎乎
下	档子
下数	数目
下下	每次
啊	啊
扁	扁
扁嘴	撇嘴
啪	啪
嗒(dia)	提
嗒起	提起
苨(nia)	滑行
苨白	撒谎
苨鞋子	脱下
苨肩膀	撂挑子
苨肥	巴结
加夜班	加班
加减官	纸牌
枷担	重担
家	档子
家务事	家务事
家具	家具
家麻雀	麻雀
家家	外婆
家家户户	家家户户
家门儿	亲戚
家孙儿	孙子
甲	天干
夹肢窝儿	腋下
夹磨	磨练
夹脚	紧
夹脚夹手	拘谨
夹舌苔儿	懦夫
夹背儿	竹篓
夹背心儿	上衣
夹生饭	米饭
圿圿	污垢
假比	假如
假眉假眼	虚情假意
假女娃子	庸才
假巴意思	假惺惺
假老练	假面具
假男娃子	假小子
假生	生日
假场合	行为
假行势	自大
架	档子
架势	傲慢
嫁女儿	嫁人
嫁二嫁	嫁人
嫁二嫁的	家庭妇女
嫁毛虫	祈福
嫁人	出嫁
嫁妆	嫁妆
驾驶员儿	驾驶员
卡轮子	插队
大步(上下结构)	跨越
恰	差一点儿
恰好	恰好
卡子	检查站
卡房	牢房
腝(ɳia)	撒娇
腝猫儿	懦夫
虾	胆怯
虾子	虾
虾子蛋	鱼卵
虾米	虾米
虾耙	胆小鬼
虾仁儿	虾仁
匣	匣子
瞎子	瞎子
瞎子摸围鱼	捉迷藏
下士	下士
下棋	下棋
下细	小心
下一个月	下月
下露水	打雷
下午	下午
下雾	起雾
下雨了	下雨
下八字	算命
下火巴蛋	怯懦
下巴儿	下巴
下杂	内脏
下话	求情
下课	下课
下野力	卖力气
下雪	下雪
下摆	下摆
下台	下台
下水	内脏
下报单	报信
下叫	差一点儿
下轿	下车
下头	下面
下流	卑鄙
下半夜	下半夜
下半年	下半年
下蛋	产卵
下滥	下等人
下滥药	说坏话
下馆子	吃馆子
下定	订婚
下金井	下葬
下请帖	邀请
下阴	算命
下旬	下旬
下霜	降霜
夏至	夏至
夏天家	夏天
吓倒起了	魂飞魄散
丫巴儿	树丫
丫丫	桠枝
丫头儿	丫环
丫头子	丫环
丫环	丫环
垭(口)	峡谷
牙	碎块
牙(齿)	牙齿
牙祭	牙祭
牙巴	牙齿
牙巴劲	口才
牙牙饭	米饭
牙狗	公狗
牙瓣儿蒜	蒜
瓣瓣(儿)蒜	蒜
牙尖	牙尖
牙尖婆	长舌妇
牙床	齿龈
牙黄	牙垢
牙屎	牙垢
牙垢	牙垢
芽菜	腌菜
押	抵押
押倒(起)	关押
押起(来)	关押
关倒(起)	关押
关起(来)	关押
押金	押金
蚜虫	蚜虫
鸭子	鸭子
鸭舌帽	鸭舌帽
鸭蛋	鸭蛋
鸭青	鸭子
鸭青喉咙	小嗓儿
鸭篷轿	出租车
哑巴	哑子
哑年	本命年
压条	压条
压轿	驱邪
压轿狗儿	男孩
压堂子	做主
压床	祈福
抓子(儿)	藏猫儿
抓不倒缠	手忙脚乱
抓药	抓药
抓扯	斗殴
抓粪	施肥
啄	挖
啄木鸟	啄木鸟
啄啄	后脑勺儿
啄啄帽	帽子
啄瞌睡	打瞌睡
啄梦脚	走神儿
啄毽(儿)	藏猫儿
踢毽(儿)	藏猫儿
㽿	弯曲
㽿手(儿)	残疾
㽿手子	残疾
抓子	干什么
欻	冲洗
欻雨了	淋雨
欻脱	洗净
欻白	惨白
欻	批评
刷牙	刷牙
耍	休息
耍狮子	舞狮
舞狮子	舞狮
耍十	回娘家
耍死狗(儿)	耍赖
耍死皮	耍赖
耍家	纨绔子弟
耍公子	纨绔子弟
耍耍	消遣
耍耍搭搭	从容
耍魔术	演魔术
耍水龙	祭天
耍刀	威胁
耍小龙	藏猫儿
耍板眼儿	耍花招
耍钱	赌博
耍门坎儿汉儿	汉奸
耍秤	耍花招
耍横	耍花招
耍枪	威胁
耍朋友	找对象
耍玩意儿	玩物
厦	房子
挼	办理
挼包包散	安抚
挼面	揉面
揉面	揉面
瓜子	瓜子
瓜眉瓜眼(儿)	傻里傻气
瓜眉日眼(儿)	傻里傻气
瓜耳皮	瓜皮帽
瓜娃子	傻瓜
瓜葛亲	远房
瓜瓢	瓢子
刮	非常
刮屎(篾)片儿	卫生纸
刮胡子	骂人
刮毒	狠毒
刮痧	刮痧
刮墨	理顺
刮脸	刮脸
剐	剥皮
刮油	揩油
刮鬼皮	盗墓
寡	缺少
寡(是)说	口惠而实不至
寡说不做	口惠而实不至
寡母子	寡妇
寡孽	无情无义
寡酒	闷酒
寡蛋	鸡蛋
寡年	本命年
寡公子	鳏夫
卦	卦
挂	档子
挂倒(起)	张挂
挂面	挂面
挂霜	黏附
挂红	昭雪
垮	脱落
垮不倒皮	牵涉
垮杆(儿)	垮台
垮肩膀	推诿
胯胯骨	髋骨
花姑娘儿	瓢虫
花骨朵儿	花苞
花苞苞(儿)	花苞
花尔古董	花里胡哨
花古拎当	花里胡哨
花花(儿)	图案
花夜	结婚
花宵	结婚
花菜	花菜
花会	花会
花猫儿	小孩子
花猫儿猫儿	老虎
花椒	花椒
花椒油	麻油
花椒面(儿)	胡椒粉
花轿	花轿
花瓣瓣(儿)	花瓣
花旦(儿)	花旦
花脸	花脸
花卷儿	花卷
花生	花生
花生皮皮	内果皮
花生衣衣	内果皮
花生米(米)	花生米
花生米子	花生米
花生壳壳	果壳
花生油	花生油
花生糖	松子糖
花心心	花蕊
花掌	手掌
花样官	纸牌
花红	花红
划	切开
划盘子	破相
划甘蔗	藏猫儿
划子	划子
划得着	划得着
划片儿	船桨
划拳	划拳
划棒棒拳	划拳
滑	滑行
滑刷	光滑
铧底	底部
铧口	顶部
化食	消食
(化)猪油	猪油
化雪了	融化
化肥	化肥
化脓	化脓
画地图	尿床
画押	画押
画了	打勾
画水	巫术
话剧	话剧
挖	抓挠
挖地	锄地
挖锄	锄头
挖耳子	指甲剪
蛙泳	蛙泳
娃娃背篼	背篓
袜子	袜子
袜(子)带带(儿)	带子
瓦	板瓦
瓦块(儿)云	波状云
瓦片(儿)	瓦片
瓦块儿	瓦片
凹	凹陷
凹额棱	额头
波丝糖	麦芽糖
波丝网	网
玻璃(开水)	白开水
菠萝	菠萝
菠菜	菠菜
啵儿	接吻
博士帽	帽子
拨子子的	服务员
薄	超薄
簸箕	簸箕
簸簸	箩筐
簸儿	非常
坡(坡)地	土地
婆媳两个	亲戚
婆家	婆家
婆婆	祖母
婆婆大娘	老太太
婆婆嘴	婆婆嘴
婆孙两个	亲戚
婆娘	女人
婆娘些	娘儿们
泼	伙
泼潲水	驱邪
泼烦	厌烦
泼(秧)粪	施肥
颇	豁出去
摸	扒窃
摸不倒魂头	丈二和尚摸不着头脑
摸不倒火门	束手无策
摸脉	号脉
摸跟儿	三只手
摸青羊	算卦
摸糖饼儿	摸奖
摩托(车)	摩托车
摩登儿	时髦
摩登儿粉	扑粉
摩登儿红	胭脂
末伏	三伏
末末儿	后代
没脉了	死亡
茉莉花	茉莉花
莫贝	没有
莫得	没有
莫得啥子	没关系
莫得抓拿	束手无策
莫得走搌	没商量
莫得风了	杨柳风轻
莫来头	没关系
莫奈何	莫奈何
莫搞(眼)	没办法
莫眼(火)	没办法
莫祥	没意思
磨墨	研磨
蘑菇	蘑菇
魔芋	魔芋
抹了	打勾
抹合	白吃
抹药膏	上药
磨子	磨子
磨手手(儿)	手柄
磨盘	磨盘
磨心(儿)	领袖
磨房	磨房
多	非常
多吃三碗菜	敬酒
多心	多心
哆	哎呀
夺(U+30533)	戳
夺客	挑拨离间
夺背脊骨	斥责
朵	档子
躲	躲藏
躲摆子	躲避
舵	舵盘
舵把子	头目
舵爷	头目
堕	放置
堕堕	垫子
堕堕	黏糊糊
拖	抢夺
拖布	拖布
拖鞋	拖鞋
拖斗(儿)	拖斗
拖油瓶	拖油瓶
托儿所	托儿所
坨	档子
坨坨	坨子
沱	河湾
砣砣酥	油酥
脱衣裳	脱衣
脱衣服	脱衣
脱鞋子	脱衣
离(nia)鞋子	脱衣
脱孝衣	除丧
脱肛	脱肛
驼背(儿)	驼子
驼子	驼子
軃	下垂
軃眼皮	装傻
軃神	二流子
唾液	唾液
啰嗦	唠叨
了	全数
烙铁	烙铁
落	降落
落士	下棋
落气了	死亡
落雨	落雨
落雨点子	下雨
落教	守信用
落头发	脱落
落榫	落实
落象	下棋
骆驼	骆驼
螺丝刀	螺丝刀
螺丝拐	脚踝
螺蛳	螺蛳
罗筛	筛子
骡子	骡子
萝卜	萝卜
萝卜干(儿)	菜干
萝卜缨缨(儿)	菜叶
箩箩儿	竹筐
箩筐	箩筐
箩篼	箩筐
裸连	啰唆
络耳胡	络腮胡
摞起来	摆放
骆猴儿	鬼怪
作料	作料
作文本(儿)	本子
昨天	昨天
昨(天)晚些	昨晚
昨年(子)	去年
捉迷藏	捉迷藏
桌	档子
桌子	桌子
桌子(高)上	桌面上
桌子高头	桌面上
桌布	桌布
着急	着急
左撇子	左撇子
左手	左手
左右	约数
左眼跳财，右眼跳挨	眼跳
左邻右舍	左邻右舍
坐十	回娘家
坐席	入席
坐月(子)	坐月子
坐篼	背篓
坐班房	坐牢
坐监	坐牢
坐牢(房)	坐牢
坐班房的	犯人
坐牢的	犯人
坐墩儿(肉)	猪肉
坐堂	坐堂
座	档子
搓衣板(儿)	搓板
搓搓板(儿)	搓板
搓转转儿	藏猫儿
矬	笨拙
矬矬	实实
撮	档子
撮箕	簸箕
撮撮	撮箕
撮撮帽	帽子
戳脱	丢掉
戳锅漏	破坏
戳火	出事
戳拐	闯祸
戳笨	犯错
凿子	凿子
梭	溜走
梭子	梭子
梭梭	婊子
梭梭板	滑梯
梭爷子	婊子
梭老二	蛇
梭边边	偷懒
梭空空	偷懒
蓑衣	蓑衣
芍药	芍药
索子	绳子
索索	绳子
嗦	嗨哟
说	告诉
说不定	说不定
说书	说书
说话	开腔
说得轻巧，拿根灯草	眼高手低
说媒	做媒
说对象	做媒
说聊斋	交代
说笑	开玩笑
说人户	做媒
说亲	说亲
说黄话	胡说八道
说梦话	说梦话
锁	锁具
锁骨	锁骨
锁口	结束
锁眼眼(儿)	缝补
锁洞洞(儿)	缝补
锁眼子	缝补
锁扣眼儿	缝补
锁针	回形针
哥子	哥哥
哥(哥)	哥哥
哥老倌	哥哥
哥俩好	划拳
锅(儿)	锅子
锅底底	锅底
锅豚豚	锅底
锅巴	锅巴
锅巴盐	矿盐
锅盖	锅盖
锅盔	烙饼
锅摊儿	烙饼
锅烟子	锅烟子
各人	自己
合	融洽
角尺	角尺
角角	交界
角逆	打架
割谷子	收秋
割寿枋	制作
阁了	获胜
鸽子	鸽子
果子泡(儿)	水疱
果不其然	果不其然
裹肚儿	钱袋
裹裹(儿)	发夹
裹脚布	裹脚布
裹烟	抽烟
个	档子
个一个	逐个
个把两个	约数
个打个	个个
过	使用
过世了	去世
过礼	过礼
过气	过气
过串	过气
过不得	郁闷
过渡	过渡
过午	午饭
过大年	过春节
过话	造谣惑众
过抬盒	下聘
(过)街轿	出租车
过街楼	过街楼
过道	过道
过坳	过硬
过得坳	过硬
过挑过选	百里挑一
过小年	过年
过后	过后
过袖	腰围
过油	油炸
过年	过年
过筋过脉	关键
过性	变质
过场	花样
过于	过分
蝌蚪	蝌蚪
搁	放置
搁倒	放下
搁起	放下
搁平	解决
壳子	闲篇
壳壳	闲篇
壳子客	侃爷
磕头孝	布
瞌睡	睡觉
瞌睡来了	昏昏欲睡
瞌睡虫	昏昏欲睡
可以	可以
可能	可能
颗	档子
课本(儿)	课本
恶鸡婆	泼妇
恶心	恶心
汇	浸泡
汇醪糟(儿)	酿酒
我	我
我的	东西
我们	我们
我们两个	亲戚
喝鼻子	吸水
喝洗三酒	宴请
喝茶	喝茶
喝寡酒	喝闷酒
喝花宵酒	宴请
喝嗐	哈欠
喝头	意义
喝酒	喝酒
喝闷酒	喝闷酒
喝风	变质
豁	欺骗
豁皮	边角料
豁豁(儿)	豁嘴
